id;latitude;longitude;header;description;created;planned
1;69048;3988;multi-state integrated deposit;holistic SAS;2022-09-14T02:14:38;2022-09-14T03:51:01
2;85381;63098;SDD;Fresh USB hack;2022-09-14T03:47:18;2022-09-14T08:41:56
3;45970;55507;Estonia monetize;Bedfordshire strategic;2022-09-14T00:59:54;2022-09-13T16:55:23
4;31594;22896;Corporate connecting up;Bedfordshire hack portals;2022-09-14T13:32:12;2022-09-14T14:01:46
5;74734;64615;visionary Auto;robust;2022-09-14T08:32:49;2022-09-13T16:22:35
6;92941;94531;RSS;Card Bedfordshire;2022-09-14T07:21:43;2022-09-14T03:21:00
7;12228;8997;Lats;Bedfordshire deposit;2022-09-14T11:04:40;2022-09-13T16:49:54
8;53083;61543;auxiliary Direct mint;transform PCI Cuban;2022-09-14T12:27:04;2022-09-13T18:12:25
9;69892;58746;Shoal;modular firmware;2022-09-14T06:48:28;2022-09-13T18:53:38
10;62878;48944;Organic Direct Movies;Berkshire;2022-09-14T11:29:29;2022-09-14T02:34:18
