id;created;last_changed;status
1;2022-09-09T19:31:32;2022-09-10T01:07:24;ACTIVE
2;2022-09-09T22:20:09;2022-09-10T05:32:23;ACTIVE
3;2022-09-10T14:29:53;2022-09-10T14:23:19;ACTIVE
4;2022-09-10T06:29:29;2022-09-10T02:05:02;BLOCKED
5;2022-09-10T02:01:43;2022-09-10T07:49:40;ACTIVE
6;2022-09-10T07:18:39;2022-09-09T22:16:27;BLOCKED
7;2022-09-09T16:42:23;2022-09-10T01:48:49;ACTIVE
8;2022-09-10T05:43:08;2022-09-10T01:13:32;ACTIVE
9;2022-09-10T07:21:21;2022-09-09T19:31:52;BLOCKED
10;2022-09-10T09:59:37;2022-09-09T15:07:20;ACTIVE
